"","theta","phys","Ppu","Ps","Pu","Pps","PpAll","PsiU","PsiS"
"400",19.9,"Plain",1.56587130965783e-42,5.63213160785372e-26,2.08782841287711e-42,1.40803290196343e-26,1.40803290196343e-26,1.11209852232452e-16,1
"401",20,"Plain",5.1352285499138e-43,2.74603731445627e-26,6.84697139988506e-43,6.86509328614067e-27,6.86509328614067e-27,7.48020214128897e-17,1
"402",20.1,"Plain",1.67314684228585e-43,1.33284773033178e-26,2.23086245638113e-43,3.33211932582945e-27,3.33211932582945e-27,5.02126928443465e-17,1
"403",20.2,"Plain",5.41600316757126e-44,6.44013693636725e-27,7.22133755676168e-44,1.61003423409181e-27,1.61003423409181e-27,3.36390559460763e-17,1
"404",20.3,"Plain",1.74178414064062e-44,3.09777684746257e-27,2.32237885418749e-44,7.74444211865642e-28,7.74444211865642e-28,2.24907632332179e-17,1
"405",20.4,"Plain",5.56519421130963e-45,1.48335677635645e-27,7.42025894841284e-45,3.70839194089111e-28,3.70839194089111e-28,1.50070281135719e-17,1
"406",20.5,"Plain",1.76659455779796e-45,7.07101197805196e-28,2.35545941039728e-45,1.76775299451299e-28,1.76775299451299e-28,9.99344684060145e-18,1
"407",20.6,"Plain",5.57139592664377e-46,3.35550575935609e-28,7.4285279021917e-46,8.38876439839023e-29,8.38876439839023e-29,6.64149767719415e-18,1
"408",20.7,"Plain",1.74566830632178e-46,1.58516643150246e-28,2.32755774176237e-46,3.96291607875615e-29,3.96291607875615e-29,4.40500952235582e-18,1
"409",20.8,"Plain",5.43412973390168e-47,7.45473496530933e-29,7.2455063118689e-47,1.86368374132733e-29,1.86368374132733e-29,2.91580036537285e-18,1
"410",20.9,"Plain",1.6806173726546e-47,3.4900368406438e-29,2.24082316353947e-47,8.72509210160949e-30,8.72509210160949e-30,1.92618869013954e-18,1
"411",21,"Plain",5.1639052529167e-48,1.62655321942677e-29,6.88520700388893e-48,4.06638304856691e-30,4.06638304856691e-30,1.26990133276711e-18,1
"412",21.1,"Plain",1.57637033175961e-48,7.54652484969518e-30,2.10182710901281e-48,1.8866312124238e-30,1.8866312124238e-30,8.35547679577722e-19,1
"413",21.2,"Plain",4.78089065075044e-49,3.48550891565372e-30,6.37452086766725e-49,8.71377228913431e-31,8.71377228913431e-31,5.48659121688548e-19,1
"414",21.3,"Plain",1.4405553151071e-49,1.60260263368046e-30,1.9207404201428e-49,4.00650658420115e-31,4.00650658420115e-31,3.59553961745037e-19,1
"415",21.4,"Plain",4.31242582779288e-50,7.33543661790603e-31,5.74990110372384e-50,1.83385915447651e-31,1.83385915447651e-31,2.35155781580396e-19,1
"416",21.5,"Plain",1.28257836064797e-50,3.34246253735565e-31,1.71010448086396e-50,8.35615634338914e-32,8.35615634338914e-32,1.53489033467243e-19,1
"417",21.6,"Plain",3.78980399162332e-51,1.51616892227069e-31,5.0530719888311e-51,3.79042230567673e-32,3.79042230567673e-32,9.99836874626745e-20,1
"418",21.7,"Plain",1.11255159336413e-51,6.84650760895039e-32,1.48340212448551e-51,1.7116269022376e-32,1.7116269022376e-32,6.49996557024022e-20,1
"419",21.8,"Plain",3.24484638711732e-52,3.07773386015911e-32,4.32646184948976e-52,7.69433465039778e-33,7.69433465039778e-33,4.21718905474117e-20,1
