"","EMT_ID","ERE88","DATE","Value","theta"
"206","SF-N2",63.05,2000-07-15,60.0054838709677,3.04451612903225
"207","SF-LB",63.42,2000-07-15,61.8564516129032,1.56354838709677
"208","SF-N1",63.71,2000-07-15,62.4645161290323,1.24548387096773
"209","SF-LA",66.6,2000-07-15,64.7325806451613,1.86741935483872
"210","SF-XZ",67.29,2000-07-15,64.9554838709677,2.33451612903227
"211","SF-N2",63.05,2000-08-15,61.9929032258065,1.05709677419355
"212","SF-LB",63.42,2000-08-15,62.6706451612903,0.749354838709678
"213","SF-N1",63.71,2000-08-15,64.2567741935484,-0.546774193548387
"214","SF-LA",66.6,2000-08-15,66.04,0.560000000000002
"215","SF-XZ",67.29,2000-08-15,65.7835483870968,1.50645161290323
"216","SF-N2",63.05,2000-09-15,62.3633333333333,0.68666666666666
"217","SF-LB",63.42,2000-09-15,63.0746666666667,0.345333333333336
"218","SF-N1",63.71,2000-09-15,64.6466666666667,-0.936666666666667
"219","SF-LA",66.6,2000-09-15,66.661,-0.0609999999999928
"220","SF-XZ",67.29,2000-09-15,66.25,1.04000000000001
"221","SF-N2",63.05,2000-10-15,61.0909677419355,1.95903225806451
"222","SF-LB",63.42,2000-10-15,62.491935483871,0.928064516129034
"223","SF-N1",63.71,2000-10-15,63.4690322580645,0.240967741935478
"224","SF-LA",66.6,2000-10-15,65.7590322580645,0.840967741935486
"225","SF-XZ",67.29,2000-10-15,65.8177419354839,1.47225806451614
"226","SF-N2",63.05,2000-11-15,59.767,3.28299999999999
"227","SF-LB",63.42,2000-11-15,61.2583333333333,2.16166666666667
"228","SF-N1",63.71,2000-11-15,62.2263333333333,1.48366666666666
"229","SF-LA",66.6,2000-11-15,64.434,2.16600000000001
"230","SF-XZ",67.29,2000-11-15,64.844,2.44600000000001
"231","SF-N2",63.05,2000-12-15,59.2316129032258,3.81838709677419
"232","SF-LB",63.42,2000-12-15,60.5941935483871,2.82580645161291
"233","SF-N1",63.71,2000-12-15,61.5877419354839,2.12225806451612
"234","SF-LA",66.6,2000-12-15,63.8587096774194,2.74129032258065
"235","SF-XZ",67.29,2000-12-15,64.1564516129032,3.13354838709678
"236","SF-N2",63.05,2001-01-15,58.8351612903226,4.21483870967742
"237","SF-LB",63.42,2001-01-15,60.3577419354839,3.06225806451613
