delta,ZRPu,ZPPu,ZRPs,ZPPs
6.72,0.864340734,0.990305108,0.000302002,-7.00E-07
6.73,0.865103778,0.990436457,0.000300591,-7.12E-07
6.74,0.865863823,0.990566,0.000299185,-7.24E-07
6.75,0.86662087,0.990693758,0.000297784,-7.35E-07
6.76,0.867374922,0.990819749,0.000296388,-7.47E-07
6.77,0.868125982,0.990943993,0.000294998,-7.58E-07
6.78,0.868874053,0.99106651,0.000293613,-7.69E-07
6.79,0.869619137,0.991187319,0.000292233,-7.80E-07
6.8,0.870361239,0.991306439,0.000290858,-7.91E-07
6.81,0.87110036,0.991423889,0.000289489,-8.01E-07
6.82,0.871836505,0.991539687,0.000288125,-8.11E-07
6.83,0.872569675,0.991653854,0.000286766,-8.21E-07
6.84,0.873299875,0.991766407,0.000285412,-8.31E-07
6.85,0.874027107,0.991877365,0.000284064,-8.41E-07
6.86,0.874751376,0.991986746,0.000282721,-8.50E-07
6.87,0.875472683,0.992094569,0.000281382,-8.59E-07
6.88,0.876191034,0.992200852,0.00028005,-8.68E-07
6.89,0.87690643,0.992305614,0.000278722,-8.77E-07
6.9,0.877618877,0.992408871,0.000277399,-8.85E-07
6.91,0.878328376,0.992510642,0.000276082,-8.93E-07
6.92,0.879034933,0.992610946,0.000274769,-9.01E-07
6.93,0.87973855,0.992709798,0.000273462,-9.09E-07
6.94,0.880439232,0.992807218,0.00027216,-9.17E-07
6.95,0.881136982,0.992903222,0.000270863,-9.24E-07
6.96,0.881831804,0.992997828,0.000269571,-9.31E-07
6.97,0.882523702,0.993091053,0.000268284,-9.38E-07
6.98,0.88321268,0.993182914,0.000267002,-9.45E-07
6.99,0.883898742,0.993273428,0.000265725,-9.51E-07
7,0.884581891,0.993362612,0.000264453,-9.57E-07
7.01,0.885262133,0.993450483,0.000263186,-9.63E-07
7.02,0.885939471,0.993537056,0.000261924,-9.69E-07
7.03,0.88661391,0.993622349,0.000260668,-9.74E-07
7.04,0.887285453,0.993706378,0.000259416,-9.80E-07
7.05,0.887954106,0.99378916,0.000258169,-9.85E-07
7.06,0.888619871,0.99387071,0.000256927,-9.89E-07
7.07,0.889282754,0.993951044,0.00025569,-9.94E-07
7.08,0.88994276,0.994030179,0.000254458,-9.98E-07
7.09,0.890599892,0.99410813,0.00025323,-1.00E-06
7.1,0.891254156,0.994184913,0.000252008,-1.01E-06
7.11,0.891905555,0.994260543,0.000250791,-1.01E-06
7.12,0.892554095,0.994335035,0.000249578,-1.01E-06
7.13,0.893199779,0.994408406,0.00024837,-1.02E-06
7.14,0.893842614,0.99448067,0.000247167,-1.02E-06
7.15,0.894482603,0.994551842,0.000245969,-1.02E-06
7.16,0.895119752,0.994621938,0.000244776,-1.02E-06
7.17,0.895754065,0.994690972,0.000243588,-1.03E-06
7.18,0.896385548,0.994758958,0.000242404,-1.03E-06
7.19,0.897014204,0.994825912,0.000241225,-1.03E-06
7.2,0.89764004,0.994891848,0.000240051,-1.03E-06
7.21,0.89826306,0.99495678,0.000238882,-1.03E-06
7.22,0.898883269,0.995020723,0.000237717,-1.04E-06
